Id,Year,SECTION_ID,Baujahr,GEOPOINT_ID,Haltungslaenge,Mittlere_Tiefe,Kanalart,Wasserschutzzone,Lage_im_Verkehrsraum,Grundwasserstand,Materialart,Materialgruppe,Cluster_Name,Profilart,Profilbreite,Profilhoehe,Erneuerung,SUBS_CLASS,PRIO_CLASS,SUBSTANZ,Prioritaet,ENTSCHEIDUNG_KUBUS_C,ENTSCHEIDUNG_STRATEGIE,Ausgabe,RAD,RBW_AHK,Lat1,Lat2,Long1,Long2
345401,2016,14372,1982,83325,41.717,5.6,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,900,900,96812.64,1.83991341774,2.9,73.2,57.27,1,1,0.0,33,0.0,50.5363528655,50.536556732,9.71908526142,9.71860806909
345426,2016,14373,1982,83327,8.989,5.38,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,900,900,20860.77,1.41437632111,1.86,81.71,36.39,0,1,0.0,33,0.0,50.5365635286,50.5366311874,9.71859970558,9.71856151824
345451,2016,14374,1982,83329,37.127,4.97,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,900,900,86160.63,1.81500617447,2.9,73.7,57.27,1,1,0.0,33,0.0,50.5366396331,50.5369483559,9.71856136433,9.71872037717
345476,2016,14375,1972,83331,29.335,3.92,K,KW,B5,1,B,Beton,Beton,DN,300,300,28911.11,2.33767216041,3.48,63.25,68.72,1,1,0.0,23,0.0,50.5367501116,50.5366036243,9.71818459056,9.71851172401
345501,2016,14376,1982,83333,44.702,4.39,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,900,900,103739.93,1.76920791152,2.9,74.62,57.27,1,1,0.0,33,0.0,50.5369570574,50.5373500481,9.718722485,9.71871533348
345526,2016,14377,1968,83335,41.515,2.89,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,33515.06,4.17582828381,4.87,16.48,96.87,4,1,0.0,19,0.0,50.5369885715,50.5371420719,9.71753524801,9.7170166521
345551,2016,14378,1972,83337,26.441,2.69,K,KW,B5,1,SB,Stahlbeton,Stahlbeton,DN,300,300,21345.82,1.97081145579,4.43,70.58,87.93,1,1,0.0,23,0.0,50.5368630065,50.5369842685,9.71785185101,9.71754760077
345576,2016,14379,1982,83339,49.852,4.38,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,900,900,115691.54,1.76920791152,2.9,74.62,57.27,1,1,0.0,33,0.0,50.537359029,50.5377969461,9.7187158933,9.71877065494
345601,2016,14380,1965,83341,13.618,4.06,K,KW,BG,1,B,Beton,Beton,DN,300,300,15378.81,2.60545734404,3.91,57.89,77.53,1,1,0.0,16,0.0,50.537309663,50.5373527867,9.71854418209,9.71870875679
345626,2016,14381,1982,83343,49.795,4.46,K,KW,B4,1,SB,Stahlbeton,Stahlbeton,DN,900,900,115559.26,1.76920791152,2.9,74.62,57.27,1,1,0.0,33,0.0,50.5378059334,50.5382441387,9.71877163823,9.7188073685
